"missing_mechanism","family","n_species","phylo_lambda","miss_frac","n_rep","n_fail","mean_delta","mcse","mean_r_cal_gnn","frac_gate_open"
"covariate_MAR","F1",1000,0.2,0.5,30,0,-0.00126585220472841,0.00145788618399731,0.241647173489279,0.275
"covariate_MAR","F2",1000,0.2,0.5,30,0,-0.0281322076031864,0.00328861193229529,0.502229532163743,0.541666666666667
"covariate_MAR","F3",1000,0.2,0.5,30,0,-0.00245705971289788,0.00401318575369169,0.0971132897603486,0.15
"covariate_MAR","F1",100,0.5,0.5,30,0,0.0191194304092771,0.0100326624592945,0.229623108015136,0.283333333333333
"covariate_MAR","F2",100,0.5,0.5,30,0,-0.0249253820140362,0.012874824983773,0.272403216176569,0.325
"covariate_MAR","F3",100,0.5,0.5,30,0,0.00333442144663411,0.0130562765907039,0.06201967730412,0.0777777777777778
"covariate_MAR","F1",300,0.5,0.5,30,0,0.00459226879411621,0.00548155683793693,0.263629126864421,0.3
"covariate_MAR","F2",300,0.5,0.5,30,0,-0.0303997709135524,0.00688038923584636,0.449780701754386,0.491666666666667
"covariate_MAR","F3",300,0.5,0.5,30,0,0.00413294715381364,0.00593134547540236,0.0669575593395253,0.1
"covariate_MAR","F1",1000,0.5,0.5,30,0,5.69613177322923e-05,0.000722121112386512,0.162642543859649,0.233333333333333
"covariate_MAR","F2",1000,0.5,0.5,30,0,-0.0202721835145711,0.00289594484582722,0.425884154831523,0.466666666666667
"covariate_MAR","F3",1000,0.5,0.5,30,0,0.00487372484587737,0.00444746408674222,0.0978262575630997,0.155555555555556
"covariate_MAR","F1",100,1,0.5,30,0,0.0162679988001743,0.0100816645150251,0.32598616736044,0.425
"covariate_MAR","F2",100,1,0.5,30,0,-0.0125309430275597,0.011743735815356,0.334786387945344,0.425
"covariate_MAR","F3",100,1,0.5,30,0,0.0205340535039322,0.0114999752998209,0.0639332548543075,0.0888888888888889
"covariate_MAR","F1",300,1,0.5,30,0,-0.0012273366733256,0.00255958672689687,0.289923353113175,0.383333333333333
"covariate_MAR","F2",300,1,0.5,30,0,-0.0147040636858537,0.00474973185283134,0.329360497854112,0.4
"covariate_MAR","F3",300,1,0.5,30,0,-0.00431272872214898,0.00832442868940036,0.0726467209690894,0.105555555555556
"covariate_MAR","F1",1000,1,0.5,30,0,0.000109535053688392,0.000596118800515563,0.109627192982456,0.158333333333333
"covariate_MAR","F2",1000,1,0.5,30,0,-0.0139730407239522,0.00180515461250989,0.359100877192982,0.466666666666667
"covariate_MAR","F3",1000,1,0.5,30,0,0.00475374791013664,0.00291851873877446,0.0464754854183389,0.116666666666667
